Logistic Regression : 0
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.91, 0.91, 0.91), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.91, 0.91, 0.91), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.91, 0.91, 0.91), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.928, 0.928, 0.928), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 50, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
